Filename,Language,Transcript
e1.wav,en-US,Don't draw a conclusion based on a single observation.
e2.wav,en-US,"Just then, she sees an ice cream truck driving down the street."
e3.wav,en-US,Her mother says that summer is far away.
e4.wav,en-US,She wants to eat ice cream and go swimming.
e5.wav,en-US,"A girl sits at her bedroom window, looking down at the street."
h1.wav,hi-IN,गुमनाम लोगों को घरों से उपकार की आशा नहीं करनी चाहिए।
h2.wav,hi-IN,मैंने कल ख्वाब में एक खूबसूरत गाड़ी देखी।
h3.wav,hi-IN,कल का खाना सुलेखा घी ढाल कर बनाएगी।
h4.wav,hi-IN,तुम्हारे खरगोश का रंग सफेद है।
h5.wav,hi-IN,केशव के घर में चार खिड़कियां हैं।
